Title,Ingredients,Loves,kategori
Pindang ayam jadul,1/2 kg ayam--5 btr bawang merah iris halus--10 buah cabe rawit iris halus--2 cm jahe iris halus--1 cm lengkuas iris halus--1/2 sdt kunyit halus--1 sdt asam jawa--1 sdt terasi bangka panggang--1 bh tomat potong 4--Secukupnya daun kemangi (me:gak ada)--,0,ayam
Ayam Kacang Panjang Saos Hoisin,"Bahan Daging--1 lembar paha atas/dada ayam--1 sdm kecap asin, arak beras, tapioka--Bahan saos--1 ikat Kacang panjang--2 siung baput cincang halus--3 cm jahe cincang halus--1 sdm saos hoisin--1 sdt kecap asin--0.5 sdt micin--100 ml air--Larutan tapioka--",2,ayam
Tongseng ayam,"500 g daging ayam (potong2)--1250 CC santan dr 1 butir kelapa (pisahkan bagian yg kental)--3 lembar daun jeruk--3 lembar daun salam--1 ruas lengkuas (geprek)--1 batang serai (geprek)--20 buah cabe rawit hijau--1 batang daun bawang (potong serong)--1 buah tomat (potong2)--3 sdm kecap manis--1 buah kentang ukuran sedang (potong2)--Secukupnya kol (iris2 tebal)--Secukupnya garam,kaldu bubuk, gula pasir (sesuai selera masing2)--Bawang goreng untuk taburan--Secukupnya minyak untuk menumis--Bumbu halus ;--8 siung bawang merah--4 siung bawang putih--1 ruas jahe--1/2 ruas kunyit--1 sdt ketumbar--1/2 sdt merica--3 butir kemiri sangrai--3 buah cabai merah besar--",1,ayam
Ayam penyet sambel kemangi,400 gr dada ayam--1 ikat daun kemangi--1 buah timun uk sedang--1 bungkus bumbu racik tempe--bahan sambel--10 buah cabe merah--10 buah cabe rawit--3 siung bamer--2 siung baput--gula--garam--1/2 buah tomat merah--secukupnya terasi--secukupnya minyak utk menggoreng--air utk mengungkep ayam--,0,ayam
Nugget Ayam Wortel,250 gram daging ayam giling--1 buah wortel ukuran sedang--1/2 buah bawang bombay--2-3 siung bawang putih--3 batang daun bawang--2 butir telur ayam--100 gram tepung terigu (kurang lebih)--secukupnya Tepung roti--secukupnya Garam--secukupnya Lada--secukupnya Penyedap rasa ayam--Minyak goreng--,4,ayam
Ayam goreng pedas gila ala Kfc,1/2 kg ayam--3 bungkus tepung bumbu uk 80 g yg pedas (aku pke sajiku)--Secukupnya air es--Minyak goreng--,2,ayam
Chicken Teriyaki,"500 gr Daging ayam iris memanjang--1 bh Bawang bombay, iris memanjang--1/2 sdt Gula--1/4 sdt Garan--150 ml Air--Minyak untuk menumis--Bumbu perendam :--3 sdm Saus teriyaki--2 sdm Saus tiram--1 sdm Kecap manis--1 sdt Minyak wijen--3 siung bawang putih, haluskan--2 cm Jahe, haluskan--1/4 sdt Merica--1/2 sdt Kaldu bubuk--",1,ayam
Ayam Kecap Pedas Jeruk Limao,"1/2 kg ayam potong2--2 lbr daun salam--1 ruas jahe geprek--4 lbr daun jeruk, buang tulangnya--3 buah jeruk limao--Secukupnya air perasn jeruk nipis--Secukupnya garam, merica, gula pasir, kaldu bubuk--Secukupnya kecap manis--250 ml air--1 siung bawang Bombay, iris2--🌀 Bumbu Halus 🌀--3 siung bawang putih--5 siung bawang merah--10 buah cabe keriting merah--5 buah cabe rawit merah--",46,ayam
Resep Ayam Kecap Rumahan,1/2 Kg ayam--Bumbu yg di haluskan :--3 Bawang Putih--7 Bawang Merah--sesuai selera Cabe rawit dan cabe merah besar--2 cm Jahe--secukupnya Lada dan Pala--Lengkuas se jempol kaki😂--4 biji Kemiri--,0,ayam
Sop Ayam Garang Asam,1/2 ayam--3 serai--3 cm jahe--20 cabe rawit merah--8 bawang putih--4 bawang merah--2 tomat hijau--2 jeruk nipis (boleh lebih)--4 daun jeruk--secukupnya daun bawang--secukupnya garam--secukupnya penyedap--secukupnya air matang--,2,ayam
Ayam goreng krutuk,tepung terigu--Air matang--ayam (yg sudah direbus sebelumnya)--Garam--Gula/penyedap--Lada bubuk--1 butir telur ayam--Minyak goreng--,4,ayam
Ayam panggang saos kecap,"Bumbu ayam panggang ;--1 kg ayam potong sesuai selera--3 siung bawang merah,ulek halus--3 siung bawang putih,ulek halus--Sedikit kunyit,dan garam,ulek halus--Untuk olesan ayam ;--Kecap manis,saus tomat,sedikit minyak,dicampur--Saos kecap/cocolan ;--sesuai selera Kecap manis--5 siung bawang merah,iris melintang agak tebal--3 siung bawang putih,ulek halus--5 buah cabe rawit,ulek halus--2 buah tomat potong sesuai selera--Jeruk nipis (skip)--Arang untuk memanggang ayam--",0,ayam
Soto ayam kuah santan,"1/5 kg ayam (diungkep dulu,lalu digoreng)--2 bungkus santan kara--2 cm kunyit--1 cm jahe--secukupnya Lada--secukupnya Daun salam,lengkuas,daun jeruk dan sereh--5 siung bawang merah--5 siung bawang putih--Penyedap : gula,garam royko ayam--Bahan pelengkap:--iris Tomat--Daun bawang dan seledri--Bihun (rebus dulu)--Bawang goreng--Kol di potong tipis--Tahu goreng--Kerupuk--Bawang goreng--Jeruk nipis--Sambal (cabe rawit,bawang putih/merah di rebus dulu, diulek)--",3,ayam
Ayam Goreng Bumbu Kuning,5 potong ayam--Secukupnya air--Secukupnya minyak goreng--🐓 Bumbu Halus 🐓--1 siung bawang putih--1 ruas jari kunyit--1/2 ruas jari jahe--1/2 sdt ketumbar--Secukupnya garam--,15,ayam
Mie Geprek (Mie + ayam geprek),1 bungkus mie burung dara--1 ons dada ayam--tepung terigu--kubis--bawang putih--kecap--royco sapi--secukupnya garam--ebi--minyak wijen--saus tiram--lada bubuk--minyak goreng--air--cabe rawit--bawang merah--,2,ayam
Seblak Mie Tulang Ayam,1 bungkus mie burung dara--1/4 tulang ayam sisa filet (jadi masih ada daging2ny😁)--Sawi hijau--Sawi putih--Garam--Gula--Bahan halus :--5 siung bawang merah--3 siung bawang putih--3 buah cabe keritinh--15 buah cabe rawit (sesuai selera)--1 ruas jari kencur--,0,ayam
Sweet Buffalo Chicken 🐔,🐔 Bahan Utama:--1 kg Paha ayam (10 potong)--🐔 Bumbu Pelapis Ayam :--Secukupnya Garam--1 sdt Lada hitam bubuk--1 sdt Paprika bubuk--2 sdm Tepung terigu--🐔 Bumbu Saus:--6 sdm Margarin unsalted--2 sdt Bawang putih bubuk--4 sdm Gula merah bubuk--4 sdm Saus tomat--4 sdm Saus sambal--secukupnya Garam--Secukupnya Wijen--,0,ayam
Ayam Garang Asem,1/2 ekor ayam--Secukupnya daun pisang--1 santan kara kecil--1 jeruk nipis--👉bumbu rajang--5 cabai rawit--5 cabai merah--4 tomat hijau kecil--6 bawang merah--4 bawanh putih--👉tambahan--1 ruas laos--2 ruas jahe--4 daun jeruk--2 daun salam--2 batang serai--👉garam gulpas air minyak goreng--,3,ayam
Ayam Asam Manis Rumahan citarasa Resto,"Bahan--250 gram dada ayam, potong dadu--1 buah paprika merah/hijau--Sedikit nanas, potong dadu--1 bawang bombay--2 siung bawang putih, geprek--1 sdm minyak bawang utk menumis--Air dan tepung sagu, perbandingan 2:1--Saos asam manis:--4 sdm saos tomat--1 sdm saos sambal--1/2 sdt saos lea perrins--3 sdm gula pasir--1 sdt kaldu ayam--secukupnya garam--3 sdm kecap Inggris--1 sdt minyak wijen--1 sdm maggie seasoning--1 sdm saos raja rasa--Bumbu marinasi ayam:--1 sdt gula pasir--1 sdt garam--1 sdt kaldu ayam--1/2 sdt merica--",6,ayam
Ayam goreng tepung simple,500 gram ayam dada potong2--6 siung bawang putih haluskan--1/2 sdt lada bubuk--secukupnya Kaldu bubuk--secukupnya Garam--1 butir telur--Tepung pelapis :--100 gram tepung terigu--20 gram tepung meizena--,7,ayam
Sop Balungan Ayam,"Tulang dari 1 ekor ayam jowo, rebus dg api kecil--Bumbu ulek :--4 siung bawang putih--1/4 sdt merica bubuk--1/2 sdt pala bubuk--2 cengkeh--1 sdm garam(sesuaikan dg penggunaan air)--1/2 sdt kaldu jamur--1 sdt gula--Bahan sayur :--2 buah wortel, iris tipis--1 kentang ukuran kecil, potong dadu--1 bonggol sawi sendok--Secukupnya seledri dan daun bawang--Pelengkap : bawang merah goreng--",2,ayam
Ayam goreng lepas tulang lembut,"1 kg ayam--4 bawang putih--3 ruas laos--1 ruas jahe--Daun salam, serai 2 ruas, daun jeruk,--",3,ayam
Sayap Goreng Bumbu Ngo Hiang,1 kg sayap ayam bagian drum stick--2 sdm air jeruk nipis / lemon--1 sdt garam--1 sdm bumbu ngo hiang--3 tetes suclarose/stevia drop (boleh skip)--,35,ayam
Semur ayam kampung,1/2 kg ayam kampung--3 siung bawang putih--5 siung bawang merah--3 butir kemiri--1 ruas jahe--4 lembar daun jeruk--1 lembar daun salam--1 batang serai (digeprek)--Lengkuas--1/4 sdt kunyit bubuk--1/2 sdt ketumbar bubuk--1/4 sdt merica bubuk--3/4 sdt garam--1/2 sdt gula pasir--Sedikit royco--Secukupnya kecap manis--Secukupnya air kaldu ayam kampung--Secukupnya minyak goreng--,4,ayam
Ayam Tepung KFC super gurih,4 potong ayam (paha atas atau paha bawah)--1 Sdt air lemon--Secukupnya black papper--Secukupnya garam--Bahan pelapis :--200 gr tepung terigu serba guna--30 gr tepung maizena--1 Sdt oregano--1 Sdt garam--1 Sdt masako ayam--1 Sdt bubuk cabai--Bahan pencelup :--2 sdm tepung terigu--1 Sdt bubuk cabai--1 Sdt garam--Secukupnya lada putih--Air es--,0,ayam
Soto Ayam Surabaya,1/2 Ekor Ayam--6 Siung Bawang Merah--4 Siung Bawang Putih--Secukupnya Ketumbar--Secukupnya Lada--1 Ruas Kunyit--1 Ruas Lengkuas--1 Ruas Jahe--1 Butir Kemiri--Daun Salam--Daun Jeruk--Gula--Garam--Penyedap Rasa (boleh pakai boleh tidak)--Daun Bawang--Kol--Tauge--Kentang--Telur Rebus--Sambal Rebus--,4,ayam
Ayam Suwir ala Bali / Ayam Sisit,500 gram fillet ayam tanpa kulit--1 sdm minyak wijen--1 sdm kecap ikan--1 sdm saos tiram--1 sdm unsalted butter untuk menumis--Bumbu yang dihaluskan--10 siung bawang merah--5 siung bawang putih--1 ruas jari kencur--2 ruas jari kunyit--10 buah rawit merah atau sesuai selera--1 sdt udang rebon--1 sdt garam--,4,ayam
Risoles rogut ayam,"Bahan isian:--3 buah kentang, kukus dan tumbuk halus--1 buah wortel, diserut kasar--100 gr dada ayam rebus, suwir halus--2 sdm tepung terigu--secukupnya Lada bubuk--Secukupnya garam--100 ml susu cair--2 siung bawang putih, haluskan--50 gram keju cheddar parut--2 sdm minyak goreng--Bahan kulit:--250 gram tepung terigu--3 sdm margarine, dicairkan--2 butir telur--Secukupnya garam--secukupnya Air--100 gram tepung panir untuk membalur--",7,ayam
Ayam masak kicap ala malay,4 potong ayam--1 buah bawang bombay--4 buah cabai keriting merah--3 buah cabai rawit--8 buah cabai lalap--1 buah tomato--4 sdm kecap--1 sdm saos sambal--1 sdm saos tiram--1 sdt kunyit bubuk--1 sdt garam--1/2 sdt kaldu bubuk totole (skip boleh/ ganti kaldu bubul lain)--,7,ayam
Ayam tepung,1 kg ayam--500 gram tepung terigu--secukupnya Royco--6 siung bawang putih--1 sendok teh lada bubuk--1 ruas jahe--1 ruas kunyit--secukupnya Garam--Minyak goreng--2 butir telur ayam ambil putih nya aja--,1,ayam
Ayam goreng bakar kecap,1 kg ayam--Secukupnya minyak untuk menggoreng--Bumbu kuning halus:--4 bawang putih--8 cm kunyit (dikira-kira aja ya)--5 cm lengkuas--1 sdm ketumbar--1 sdt merica--100 ml air--Secukupnya garam dan kaldu bubuk--Bumbu bakar:--8 sdm kecap--2 sdm mentega--Bahan sambel:--3 bawang merah--1 bawang putih--4 cabe hijau besar--7 cabe rawit--1 tomat hijau--Secukupnya garam dan gula--,67,ayam
Somay ayam bumbu kacang,250 gr dada ayam--Kulit lumpia instan--150 gr terigu--100 gr kanji--4 siung bawang putih--1/2 sdm merica bubuk--1 sachet royco--Bumbu kacang--250 gr kacang--200 gr gula merah--1 sdt royco--1 sdm gula pasir--secukupnya Cabe--Larutan maizena--Kecap--Pelengkap ;--Gubis--Telur puyuh--Tahu putih--,4,ayam
.Ayam Kecap Cabe Ijo,"1 ekor ayam potong 8, bersihkan--Cabe ijo 15 buah, potong serong--Bawang bombay 1 siung, potong--Bawang putih 2 siung, cincang--garam--Gula pasir--Lada bubuk--1/2 sdt kaldu bubuk (aku pake royco)--4 sdm Kecap manis (aku pake bango)--Bumbu ungkep :--4 siung bawang merah--5 siung bawang putih--2 cm kunyit--2 cm jahe--2 cm lengkuas, geprek--1 batang serai--1,5 sdt ketumbar--2 buah kemiri--4 lbr daun jeruk--Garam--",9,ayam
Ayam Masak Kluwek,"6 kluwek--2 ayam paha--5 sayap ayam--2 buah kemiri--2 buah cabe merah (opsional)--2 siung bawang merah--1 siung bawang putih--2-3 cm jahe--1 keping asam kering--1 sdm bubuk kunyit--Garam, Gula, Penyedap Rasa--secukupnya Air--",0,ayam
Ayam Goreng Telur,10 potong Paha Ayam(aku: 1 kg ayam. Potong_potong)--6 siung Bawang Putih--4 lembar Daun Jeruk--3 lembar Daun Salam--2 batang Serai--1 sendok teh Garam--1/2 sendok teh Ketumbar Bubuk--2 cm Kunyit--2 butir Telur Ayam--500 ml Air--,17,ayam
Ayam Goreng Pemalas,1 kg ayam--1 bks bumbu ayam goreng sajiku--secukupnya lengkuas parut--2 sdm makan minyak goreng--secukupnya air matang--,6,ayam
Nuttget ayam+sayur,1 butir telur--1/2 kg Ayam--1 wortel--4 sdm tepung trigu--2 sdm tapioka--5 bawang putih--3 bawang merah--daun bawang+seledri--Lada--Tepung panir--Royko (sesuai selera)--,4,ayam
Chicken Hainan & Nasi Hainan Simple Magic Com,"Bahan untuk Ayam Hainan:--4 pcs Paha Ayam Utuh (Paha atas dan Paha bawah)--6 siung bawang putih--3 ruas jahe--1 batang sereh--2 lembar daun salam--1 jeruk nipis / lemon--1/2 siung bawang bombay--2 sdm kecap ikan--2 sdm minyak wijen--Sejumput garam--Air Matang--Kaldu ayam bubuk / block (opsional, saya tidak pake)--Bahan untuk Nasi Hainan:--3 Cup beras--4 siung bawang putih--2 ruas jahe--1 batang sereh digeprek--2 lembar daun salam--2 sdm minyak wijen--Sejumput garam--Kuah rebusan bumbu Chicken Hainan--Margarin--Bahan untuk Saus Hainan:--1 siung bawang putih parut--2 sdm kecap manis--2 sdm kecap asin--2 sdm minyak wijen--Bahan tambahan pelengkap:--Ketimun--Daun bawang--Bawang goreng--Emping--",8,ayam
Ayam Rica-rica super pedes,1 ekor ayam potong--Bumbu:--5 buah cabai merah--20 buah cabai rawit--5 siung bawang putih--7 siung bawang merah--3 buah kemiri--1 sachet merica bubuk--1 sachet ketumbar bubuk--secukupnya gula merah--secukupnya kecap manis--secukupnya garam--secukupnya penyedap rasa--1 ruas kunyit--1 ruas jahe--1 ruas besar lengkuas--2 batang serai--3 lembar daun salam--2 lembar daun jeruk--secukupnya minyak goreng--secukupnya air--,21,ayam
Ayam Goreng,1 ekor ayam (cuci dan rebus sebentar untuk ngurangin lemaknya)--Bumbu :--5 siung bawang putih (geprek)--3 siung bawang merah (geprek)--1 ruas kunyit (geprek)--1/2 sdm ketumbar bubuk--2 lembar daun salam--1 lembar daun jeruk--1 batang serai (geprek)--secukupnya garam--,1,ayam
Ayam Cabe Ijo,1 ekor ayam broiler potong 8 bagian--1 sdm air jeruk nipis--2 sdt garam--3 sdm minyak goreng utk menumis--2 lbr daun jeruk--1 batang sereh di geprek--Bumbu Halus :--8 butir bawang merah--5 siung bawang putih--10 buah cabe hujau besar--5 buah cabe rawit hijau--1 ruas jahe--1/2 ruas kunyit--3 butir kemiri--secukupnya Garam dan gula pasir--,8,ayam
Ayam fillet asam manis,2 buah dada ayam tanpa tulang--100 gr tepung terigu--50 gr tepung maizena--1 putih telur--5 sdm saus tomat--1/2 sdm saus tiram--1 buah bawang bombay (iris)--2 siung bawang putih (cincang halus)--1 sdt garam--1 sdt gula pasir--1 sdt merica bubuk--,10,ayam
Ayam ukep bumbu sederhana,1 kg ayam broiler--8 siung bawang putih ukuran besar--1 sdm peres ketumbar--Kunyit--Garam--Gula--Air--,0,ayam
Tongseng Ati Ampela Ayam,2 potong hati ampela ayam yang masih dibalut usus--2 sdm minyak goreng--50 ml air--2 siung bawang putih--4 siung bawang merah--5 buah cabe rawit--3 buah cabe merah keriting--2 butir kemiri--1/4 sdt ketumbar bubuk--1/2 ruas jahe--1 ruas lengkuas geprek--1 lembar daun salam--1/4 sdt lada--1/2 sdt garam--1/2 sdt penyedap--2 sdm kecap manis--Sejumput pala bubuk--,3,ayam
Ayam penyet ala sy,"1/2 kg ayam potong2cuci bersh--1 sdm ktumbar bbuk--2 siung bwg puth--5 siung bwg merah--1 ruas laus--4 lmbr daun salm--secukupnya Garam--secukupnya Jeruk nipis--Bhn sambl ulek--secukupnya Cabe merah,cabe rawit--1 buah tomat merah besar--Secukupnya terasi bkar--Jeruk nipis atau jeruk limau--",6,ayam
Broccoli Rice with Grilled Chicken (menu sehat),"1 bonggol Brokoli ukuran sedang / besar--500 gr Dada Ayam (bumbui dgn garam, lada, rosemary, kecap hitam)--1 buah Jamur King Oyster (sesuai selera)--50 gr Kentang (rebus terlebih dahulu)--Bawang putih cincang (untuk menumis)--Garam, lada hitam, gula / vetsin (untuk memperkuat rasa)--Rosemary dan thyme kering--",8,ayam
Ayam goreng kremes renyah + sambal trasi🌶🍅🍗,1/2 kilo ayam (aku pakai ayam broiler bagian dada) potong2--2 lembar daun salam--2 batang sereh--4 lembar daun jeruk--500 ml santan (1 bungkus santan kemasan+air)--500 ml minyak untuk menggoreng (atau secukupnya)--🍗bumbu yang dihaluskan🍗--6 jsiung bawang putih--5 siun bawang meraih--1/4 sdt ketumbar bubuk--1/4 sdt merica bubuk--3 buah kemiri--2 ruas jari kunyit--1 sdm gula--1 sdt garam--🍗Bahan kremes🍗--300 ml air rebusan ayam (disaring)--125 g tepung sagu (aq sagu tani)--2 sdm tepung beras--1 butir telur utuh--1/2 sdt baking powder double acting (aq hercules)--secukupnya Gula garam--🌶🍅Sambal terasi🍅🌶--7 buah cabe merah (bole ditambah)--1 cabe merah--2 siung bawamg putih--4 siung bawang merah--1 buah tomat ukuran sedang--Secukupnya terasi--Secukupnya Gula garam--,10,ayam
Balado ayam,Fillet ayam 1/4 kg--1 biji Bawang bombay--Cabe kering--Bumbu halus(cabe bawang merah bawang putih kemiri merica garam)--secukupnya Gula--Bunga kapulaga--,0,ayam
